lowerCasing,stop_words,ngram_range,analyzer,max_features,clf_descr,precision,recall,F1_score,train_time,test_time
False,with,"(1, 2)",word,5000,LinearSVC,0.7694854712320407,0.7617088854098896,0.7609084773009108,3.700507879257202,0.020917415618896484
False,with,"(1, 2)",word,10000,LinearSVC,0.7952576778809919,0.7867987400069213,0.7864708868387367,5.13743782043457,0.04288744926452637
False,with,"(1, 2)",word,15000,LinearSVC,0.8059653778127164,0.7967242815643394,0.7968081360553422,6.943971872329712,0.05385613441467285
False,with,"(2, 2)",word,,LinearSVC,0.7535423068511786,0.7433217327390857,0.7435793665213917,6.127181768417358,0.042885541915893555
False,with,"(2, 2)",word,5000,LinearSVC,0.5874089687047089,0.5867754291259066,0.5829177961010373,2.5282399654388428,0.014962196350097656
False,with,"(2, 2)",word,10000,LinearSVC,0.6609449694628606,0.65752509636293,0.655792774504199,2.8606326580047607,0.01595473289489746
False,with,"(2, 2)",word,15000,LinearSVC,0.6904309021731773,0.684228171547495,0.6834235965504807,3.2628567218780518,0.023940563201904297
False,with,"(1, 1)",char,,LinearSVC,0.1363904061351423,0.1747589971267546,0.13359051504600977,0.5525217056274414,0.0020029544830322266
False,with,"(1, 1)",char,5000,LinearSVC,0.1363904061351423,0.1747589971267546,0.13359051504600977,0.7559804916381836,0.001994609832763672
False,with,"(1, 1)",char,10000,LinearSVC,0.1363904061351423,0.1747589971267546,0.13359051504600977,0.5037264823913574,0.0019943714141845703
False,with,"(1, 1)",char,15000,LinearSVC,0.1363904061351423,0.1747589971267546,0.13359051504600977,0.6722300052642822,0.001966714859008789
False,with,"(1, 2)",char,,LinearSVC,0.7206101509084071,0.7137197967104724,0.7093891293611131,6.279210567474365,0.04588055610656738
False,with,"(1, 2)",char,5000,LinearSVC,0.7157136452937306,0.7097619211252999,0.7056912326675346,5.602886438369751,0.020943641662597656
False,with,"(1, 2)",char,10000,LinearSVC,0.7206101509084071,0.7137197967104724,0.7093891293611131,7.230666399002075,0.04587745666503906
False,with,"(1, 2)",char,15000,LinearSVC,0.7206101509084071,0.7137197967104724,0.7093891293611131,6.203873872756958,0.03989243507385254
False,with,"(2, 2)",char,,LinearSVC,0.7216339768187361,0.7160016616498907,0.7120940352337513,5.926379203796387,0.029919147491455078
False,with,"(2, 2)",char,5000,LinearSVC,0.7171314160551423,0.7120553128650633,0.7082058570567425,5.475148439407349,0.024933815002441406
False,with,"(2, 2)",char,10000,LinearSVC,0.7216339768187361,0.7160016616498907,0.7120940352337513,6.566061496734619,0.04089069366455078
False,with,"(2, 2)",char,15000,LinearSVC,0.7216339768187361,0.7160016616498907,0.7120940352337513,5.98515510559082,0.034905433654785156
False,with,"(1, 1)",char_wb,,LinearSVC,0.14298873158233444,0.17606724363996726,0.13489214589729526,0.5356631278991699,0.0019943714141845703
False,with,"(1, 1)",char_wb,5000,LinearSVC,0.14298873158233444,0.17606724363996726,0.13489214589729526,0.525615930557251,0.0020112991333007812
False,with,"(1, 1)",char_wb,10000,LinearSVC,0.14298873158233444,0.17606724363996726,0.13489214589729526,0.6323368549346924,0.002964019775390625
False,with,"(1, 1)",char_wb,15000,LinearSVC,0.14298873158233444,0.17606724363996726,0.13489214589729526,0.6662499904632568,0.0029594898223876953
False,with,"(1, 2)",char_wb,,LinearSVC,0.7212861618412331,0.7144750692381125,0.7104879488943554,5.637902021408081,0.03291058540344238
False,with,"(1, 2)",char_wb,5000,LinearSVC,0.7160360236773233,0.7095641515215992,0.7052528664704347,5.028611660003662,0.03188729286193848
False,with,"(1, 2)",char_wb,10000,LinearSVC,0.7212861618412331,0.7144750692381125,0.7104879488943554,5.755626678466797,0.028920888900756836
False,with,"(1, 2)",char_wb,15000,LinearSVC,0.7212861618412331,0.7144750692381125,0.7104879488943554,6.327645301818848,0.04288649559020996
False,with,"(2, 2)",char_wb,,LinearSVC,0.7232372502443231,0.7163771729915939,0.7125128782531822,5.753596544265747,0.02892327308654785
False,with,"(2, 2)",char_wb,5000,LinearSVC,0.7179339167656836,0.7115147158219611,0.7074435665400853,5.373360633850098,0.031913042068481445
False,with,"(2, 2)",char_wb,10000,LinearSVC,0.7232372502443231,0.7163771729915939,0.7125128782531822,5.777583599090576,0.03490328788757324
